Prompt,Category,Subject,Context Dependency
Who discovered the structure of benzene?,Knowledge,Chemistry,No
"If elasticity of supply is 1.5, what is the percentage change in quantity for a 4% price increase?",Math,Economics,No
Design an analogy for photosynthesis using a solar-powered factory.,Creative,Biology,No
Explain why the sky appears blue during the day.,Knowledge,Physics,No
User: What's quantum computing? AI: Superposition basics. User: Simple example?,Dialogue,Computer Science,Yes
"Compute the determinant of [[2,3],[1,4]].",Math,Linear Algebra,No
Paraphrase the policy on remote work flexibility.,Instruction,Business,Yes
What role do wetlands play in water purification?,Knowledge,Environmental Science,No
Write a MATLAB script to plot a sine wave with noise.,Programming,Computer Science,No
Read the historical document and infer the author's intent.,Reading,History,Yes
Craft a short story where a painter's artwork comes to life.,Creative,Art,No
Find the arc length of y = ln(x) from x=1 to x=e.,Math,Calculus,No
Suggest four ways to improve work-life balance in high-stress jobs.,Instruction,Career,No
Who was the first African American Supreme Court Justice?,Knowledge,History,No
Translate to Portuguese: 'Curiosity is the engine of achievement.',Instruction,Language,No
Explain the process of mitosis in detail.,Knowledge,Biology,No
User: How to bake sourdough? AI: Starter first. User: Troubleshooting tips?,Dialogue,Culinary Arts,Yes
Calculate the standard error for a sample mean of 50 with SD 10 and n=25.,Math,Statistics,No
Design a metaphor for recursion using Russian dolls.,Creative,Computer Science,No
What is the main component of natural gas?,Knowledge,Chemistry,No
Write a Perl script to process log files for error patterns.,Programming,Computer Science,No
Read the speech transcript and extract inspirational quotes.,Reading,Literature,Yes
Compose a sonnet praising the invention of the internet.,Creative,Technology,No
Solve the limit lim (x->∞) (1 + 1/x)^x.,Math,Calculus,No
Outline the negotiation process for international trade deals.,Instruction,Economics,No
"Who composed ""The Four Seasons""?",Knowledge,Music,No
"If a project has a 20% chance of delay, what's the probability it's on time?",Math,Probability,No
Invent a fairy tale about a kingdom ruled by animals.,Creative,Literature,No
Explain the Coriolis effect and its impact on weather patterns.,Knowledge,Meteorology,No
User: Best coffee maker? AI: Drip style. User: Budget under $50?,Dialogue,Daily Life,Yes
"Find the Fourier series for f(x) = x on [-π, π].",Math,Calculus,No
Rewrite the user agreement in plain English for accessibility.,Instruction,Law,Yes
What is the primary function of red blood cells?,Knowledge,Biology,No
Write a Haskell function to compute Fibonacci using memoization.,Programming,Computer Science,No
Read the memoir chapter and identify recurring motifs.,Reading,Literature,Yes
Craft a dystopian poem about surveillance society.,Creative,Literature,No
Determine the convergence of the series ∑ 1/n^2.,Math,Calculus,No
Provide a step-by-step guide to assembling IKEA furniture efficiently.,Instruction,Daily Life,No
Who was the inventor of the polio vaccine?,Knowledge,Biology,No
"Calculate the ROI for an investment of $10,000 yielding $12,000 after 2 years.",Math,Finance,No
Design an analogy for evolution using a library of books.,Creative,Biology,No
Explain the photoelectric effect.,Knowledge,Physics,No
User: Vegan dessert ideas? AI: Chocolate mousse. User: Nut-free?,Dialogue,Culinary Arts,Yes
"Compute the binomial coefficient C(10,3).",Math,Combinatorics,No
Summarize the executive report on quarterly sales performance.,Instruction,Business,Yes
What causes the rings around Saturn?,Knowledge,Astronomy,No
Write a Lisp function to reverse a list recursively.,Programming,Computer Science,No
Read the article on climate refugees and propose policy solutions.,Reading,Environment,Yes
Compose a ballad about a lost explorer in the Arctic.,Creative,Literature,No
Solve the recurrence T(n) = 2T(n/2) + n with T(1)=1.,Math,Algorithms,No
Outline a diversity training workshop agenda.,Instruction,Business,No
"Who directed ""Schindler's List""?",Knowledge,Film,No
Translate to Italian: 'Patience is a virtue in learning new skills.',Instruction,Language,No
Explain the nitrogen cycle in ecosystems.,Knowledge,Biology,No
User: Fix bike chain. AI: Clean first. User: Tools?,Dialogue,Daily Life,Yes
"Find the Z-score for x=85, μ=75, σ=5.",Math,Statistics,No
Design a creative poster for a mental health awareness month.,Creative,Health,No
What is the main alloying element in stainless steel?,Knowledge,Chemistry,No
Write a Fortran program to solve a linear system using Gaussian elimination.,Programming,Computer Science,No
Read the fantasy novel prologue and predict plot twists.,Reading,Literature,Yes
Invent a myth explaining the origin of rainbows.,Creative,Mythology,No
Determine if the function f(x)=x^3 is one-to-one.,Math,Algebra,No
Provide instructions for creating a compost bin at home.,Instruction,Environment,No
Who was the first to map the human genome?,Knowledge,Biology,No
"If a bond yields 4% annually and face value is $1000, what is the interest payment?",Math,Finance,No
Craft a simile for the speed of light using everyday experience.,Creative,Physics,No
Explain plate boundary types and associated hazards.,Knowledge,Geology,No
User: Plant care tips? AI: Water weekly. User: For succulents?,Dialogue,Biology,Yes
Compute the gcd of 48 and 18 using Euclidean algorithm.,Math,Number Theory,No
Rewrite the code snippet to improve readability and efficiency.,Instruction,Programming,Yes
What is the capital of New Zealand?,Knowledge,Geography,No
Write a Scheme procedure to implement quicksort.,Programming,Computer Science,No
Read the sci-fi short story and discuss ethical implications.,Reading,Literature,Yes
Compose a free verse poem on digital detox.,Creative,Technology,No
Find the partial fraction decomposition of 1/(x^2 - 1).,Math,Calculus,No
Outline a risk assessment for launching a mobile app.,Instruction,Business,No
Who discovered penicillin's antibiotic properties?,Knowledge,Biology,No
Calculate the present value of $5000 received in 3 years at 5% discount rate.,Math,Finance,No
Design a metaphor for neural networks using a choir.,Creative,Computer Science,No
Explain the Doppler shift in astronomy.,Knowledge,Astronomy,No
User: Best hiking trails? AI: Near me? User: In Colorado.,Dialogue,Travel,Yes
"Solve the vector equation r(t) = <t^2, sin(t), e^t>.",Math,Calculus,No
Paraphrase the research hypothesis on social media addiction.,Instruction,Psychology,Yes
What is the primary source of Earth's magnetic field?,Knowledge,Geology,No
Write a Prolog predicate to find family relationships.,Programming,Computer Science,No
Read the biography and trace the subject's career milestones.,Reading,History,Yes
Craft a story where a chef invents a dish that changes flavors.,Creative,Culinary Arts,No
Determine the radius of convergence for ∑ x^n / n!.,Math,Calculus,No
Suggest a curriculum for an introductory coding bootcamp.,Instruction,Education,No
Who was the lead developer of Python?,Knowledge,Computer Science,No
"If marginal cost is $10 and price is $15, should production increase?",Math,Economics,No
Invent a legend about a mountain that whispers secrets.,Creative,Geography,No
Explain capillary action in plants.,Knowledge,Biology,No
User: Guitar chord help? AI: G major. User: Finger placement?,Dialogue,Music,Yes
"Compute the chi-square statistic for observed [10,20] expected [15,15].",Math,Statistics,No
Design a visual timeline for the history of computing.,Creative,Computer Science,No
What is the boiling point of mercury?,Knowledge,Chemistry,No
Write a Raku script to generate prime numbers using sieve.,Programming,Computer Science,No
Read the thriller excerpt and identify suspense techniques.,Reading,Literature,Yes
Compose a rap battle between Newton and Einstein.,Creative,Physics,No
"Solve the system using Cramer's rule: 2x + y = 5, x - y = 1.",Math,Linear Algebra,No
Provide a guide to ethical hacking for beginners.,Instruction,Computer Science,No
Who founded the Red Cross?,Knowledge,History,No
Translate to Swahili: 'Education is the passport to the future.',Instruction,Language,No
Explain trophic levels in food webs.,Knowledge,Biology,No
User: Recipe for stir-fry? AI: Veggies and soy. User: Low-carb?,Dialogue,Culinary Arts,Yes
"Find the confidence interval for mean 50, SD 10, n=100 at 95%.",Math,Statistics,No
Craft a simile for the vastness of the universe using grains of sand.,Creative,Astronomy,No
What causes acid rain?,Knowledge,Environmental Science,No
Write a OCaml function for list mapping with pattern matching.,Programming,Computer Science,No
Read the policy paper and critique its feasibility.,Reading,Economics,Yes
Invent a fable teaching the value of curiosity.,Creative,Literature,No
"Compute the directional derivative of f(x,y)=x^2 y at (1,1) in direction <3,4>.",Math,Calculus,No
Outline steps for a successful crowdfunding campaign.,Instruction,Business,No
Who was the first to propose the heliocentric model?,Knowledge,Astronomy,No
"Calculate the break-even point for fixed costs $5000, variable $10/unit, price $20/unit.",Math,Finance,No
Design an analogy for entropy using a messy room.,Creative,Physics,No
Explain the Krebs cycle steps.,Knowledge,Biology,No
User: Travel to Japan tips? AI: Learn basics. User: Food etiquette?,Dialogue,Travel,Yes
"Solve the ODE y'' + y = 0 with y(0)=1, y'(0)=0.",Math,Calculus,No
Paraphrase the theorem on Bayes' rule applications.,Instruction,Statistics,Yes
What is the main gas in Venus's atmosphere?,Knowledge,Astronomy,No
Write a Julia function to simulate Monte Carlo integration.,Programming,Computer Science,No
Read the detective story and solve the mystery based on clues.,Reading,Literature,Yes
Compose a ode to the smartphone's double-edged sword.,Creative,Technology,No
"Find the flux through the surface z= x^2 + y^2 for F=<0,0,z>.",Math,Calculus,No
Suggest a rebranding strategy for a failing retail chain.,Instruction,Business,No
Who discovered the electron's charge?,Knowledge,Physics,No
"If NPV is positive at 8% discount, is the project viable?",Math,Finance,No
Craft a metaphor for globalization using a web of vines.,Creative,Economics,No
Explain volcanic island arc formation.,Knowledge,Geology,No
User: Yoga pose sequence? AI: Sun salutation. User: For flexibility?,Dialogue,Health,Yes
"Compute the p-value for t-test with t=2.5, df=20.",Math,Statistics,No
Design a comic strip explaining binary code.,Creative,Computer Science,No
What is the pKa of acetic acid?,Knowledge,Chemistry,No
Write a Elixir process for concurrent task management.,Programming,Computer Science,No
Read the romance novel scene and analyze character development.,Reading,Literature,Yes
Invent a tall tale about a fishing village's giant catch.,Creative,Literature,No
"Determine the saddle point of f(x,y)=x^2 - y^2.",Math,Calculus,No
Provide a tutorial on using Git for version control.,Instruction,Computer Science,No
Who was the first woman in space?,Knowledge,History,No
Translate to Arabic: 'Resilience is built through adversity.',Instruction,Language,No
Explain symbiosis types with examples.,Knowledge,Biology,No
User: Stock tips? AI: Diversify. User: For beginners?,Dialogue,Finance,Yes
"Calculate the sample variance for data [2,4,4,4,5,5,7,9].",Math,Statistics,No
Compose a pantoum on the cycle of seasons.,Creative,Literature,No
What drives ocean currents globally?,Knowledge,Oceanography,No
Write a Clojure function for lazy sequence generation.,Programming,Computer Science,No
Read the war memoir and reflect on themes of courage.,Reading,History,Yes
Craft a story prompt involving time-loop mystery.,Creative,Literature,No
"Solve the eigenvalue problem for A = [[0,1],[-2,3]].",Math,Linear Algebra,No
Outline a sustainability audit for a manufacturing firm.,Instruction,Environment,No
Who formulated the uncertainty principle?,Knowledge,Physics,No
"If IRR is 12% and cost of capital 10%, accept the project?",Math,Finance,No
Design a simile for the internet's information flow.,Creative,Technology,No
Explain aquifer recharge importance.,Knowledge,Geology,No
User: Language learning app? AI: Duolingo. User: For Spanish?,Dialogue,Language,Yes
"Find the median absolute deviation for [1,3,5].",Math,Statistics,No
Invent a legend for the Northern Lights.,Creative,Astronomy,No
What is the main cause of eutrophication?,Knowledge,Environmental Science,No
Write a Scala case class for data modeling.,Programming,Computer Science,No
Read the philosophy essay and summarize key arguments.,Reading,Philosophy,Yes
Compose a ghazal about unrequited love.,Creative,Literature,No
"Compute the gradient of f(x,y,z)=x y z at (1,1,1).",Math,Calculus,No
Guide to setting up a home office ergonomically.,Instruction,Health,No
Who was the first to climb K2?,Knowledge,History,No
Calculate the payback period for $3000 investment with $1000 annual cash flow.,Math,Finance,No
Craft a metaphor for biodiversity using an orchestra.,Creative,Biology,No
Explain seismic wave types.,Knowledge,Geology,No
User: Podcast on history? AI: Hardcore History. User: Episode rec?,Dialogue,History,Yes
"Determine the correlation coefficient for x=[1,2,3], y=[4,5,6].",Math,Statistics,No
"Design a visual pun for ""current events"" in news.",Creative,Media Literacy,No
What is the half-life of carbon-14?,Knowledge,Chemistry,No
Write a F# async workflow for web requests.,Programming,Computer Science,No
Read the travelogue and highlight cultural insights.,Reading,Travel,Yes
Invent a myth about the creation of stars.,Creative,Astronomy,No
Solve the linear programming problem: max 3x + 4y s.t. x + y <= 5.,Math,Optimization,No
Outline a mentorship program structure for new hires.,Instruction,Career,No
Who discovered the double helix?,Knowledge,Biology,No
Translate to Hindi: 'Kindness costs nothing but means everything.',Instruction,Language,No
Explain keystone species role.,Knowledge,Biology,No
User: Board game night? AI: Settlers of Catan. User: 4 players?,Dialogue,Entertainment,Yes
"Compute the ANOVA F-statistic for groups means 5,6,7 with n=5 each, SD=1.",Math,Statistics,No
Compose a tanka on fleeting cherry blossoms.,Creative,Literature,No
What powers hydrothermal vents?,Knowledge,Oceanography,No
Write a Nim program for a simple calculator.,Programming,Computer Science,No
Read the cookbook intro and adapt a recipe for dietary restrictions.,Reading,Culinary Arts,Yes
Craft a story where shadows rebel against their owners.,Creative,Literature,No
"Find the Hessian matrix for f(x,y)=x^2 + y^2 + xy.",Math,Calculus,No
Provide a checklist for event planning success.,Instruction,Business,No
Who was the first to sequence a genome?,Knowledge,Biology,No
"Calculate the debt-to-equity ratio if debt $400k, equity $600k.",Math,Finance,No
Design an analogy for quantum superposition using coins.,Creative,Physics,No
Explain fossil fuel formation.,Knowledge,Geology,No
User: Astronomy app? AI: SkyView. User: For stargazing?,Dialogue,Astronomy,Yes
"Estimate the population standard deviation from sample SD=8, n=16.",Math,Statistics,No
Invent a fable about a wise owl and foolish crow.,Creative,Literature,No
What is the primary pollutant from coal power plants?,Knowledge,Environmental Science,No
Write a Crystal shard for string manipulation utilities.,Programming,Computer Science,No
Read the journal entry and infer emotional state.,Reading,Psychology,Yes
Compose a sestina on the theme of memory loss.,Creative,Literature,No
Solve the traveling salesman problem for 4 cities using brute force.,Math,Algorithms,No
Outline a customer loyalty program design.,Instruction,Business,No
Who proposed the theory of relativity?,Knowledge,Physics,No
Translate to Korean: 'Harmony in diversity strengthens communities.',Instruction,Language,No
Explain cladistics in evolutionary biology.,Knowledge,Biology,No
User: Wine pairing? AI: Red with steak. User: Vegetarian alternative?,Dialogue,Culinary Arts,Yes
"Perform a regression analysis on x=[1,2,3], y=[2,4,5].",Math,Statistics,No
Design a pun-filled ad for a dictionary company.,Creative,Language,No
What is the melting point of iron?,Knowledge,Chemistry,No
Write a D program for matrix multiplication.,Programming,Computer Science,No
Read the adventure tale and map the hero's journey.,Reading,Literature,Yes
Craft a narrative poem about a nomadic trader.,Creative,Literature,No
"Compute the Jacobi matrix for the system x' = x y, y' = x + y.",Math,Calculus,No
Guide to building a personal brand on social media.,Instruction,Career,No
Who was the first to land on the moon?,Knowledge,History,No
"Calculate the markup percentage if cost $50, sell $75.",Math,Finance,No
Invent a simile for love's unpredictability using weather.,Creative,Literature,No
Explain glacial erosion processes.,Knowledge,Geology,No
"User: Book club pick? AI: ""Educated"". User: Non-fiction?",Dialogue,Literature,Yes
"Find the interquartile range for [3,7,8,5,12].",Math,Statistics,No
Compose a clerihew about a famous inventor.,Creative,History,No
What drives the water cycle?,Knowledge,Environmental Science,No
Write a Zig allocator for dynamic memory.,Programming,Computer Science,No
Read the satire piece and identify ironic elements.,Reading,Literature,Yes
Design a story where AI writes its own fairy tale.,Creative,Literature,No
"Solve the knapsack problem for weights [1,3,4], values [1,4,5], capacity 7.",Math,Optimization,No
Outline a volunteer coordination plan for charity events.,Instruction,Civics,No
Who discovered X-rays?,Knowledge,Physics,No
Translate to French: 'Persistence turns dreams into reality.',Instruction,Language,No
Explain bioluminescence in marine organisms.,Knowledge,Biology,No
User: Cycling route? AI: Local park. User: 10km?,Dialogue,Health,Yes
"Compute the effect size Cohen's d for means 10,15 SD 2,3 n=30 each.",Math,Statistics,No
Craft a metaphor for teamwork using a soccer team.,Creative,Business,No
What is the density of gold?,Knowledge,Chemistry,No
Write a Vlang module for HTTP client.,Programming,Computer Science,No
Read the mystery clue list and deduce the culprit.,Reading,Literature,Yes
Invent a tall tale about a bottomless pie.,Creative,Culinary Arts,No
"Find the minimal spanning tree for graph with edges 1-2:3, 1-3:1, 2-3:2.",Math,Algorithms,No
Provide a roadmap for career switch to data science.,Instruction,Career,No
Who was the first to circumnavigate the globe?,Knowledge,History,No
Calculate the future value of annuity $100/month at 5% for 10 years.,Math,Finance,No
Design an analogy for machine learning using baking.,Creative,Computer Science,No
Explain karst topography formation.,Knowledge,Geology,No
User: Movie night? AI: Sci-fi. User: 90s classics?,Dialogue,Film,Yes
"Perform hypothesis test for proportion p=0.5, sample 0.6 n=100 alpha=0.05.",Math,Statistics,No
Compose a kyrielle on autumn leaves.,Creative,Literature,No
What is the primary factor in desert formation?,Knowledge,Geography,No
Write a Pony actor for message passing.,Programming,Computer Science,No
Read the utopian vision and critique its realism.,Reading,Literature,Yes
Craft a narrative where a clock ticks backward.,Creative,Literature,No
"Solve the assignment problem for costs [[9,2,7],[6,4,3],[5,8,1]].",Math,Optimization,No
Outline a content marketing strategy for B2B SaaS.,Instruction,Business,No
Who proposed the big bang theory?,Knowledge,Astronomy,No
Translate to Spanish: 'Courage is resistance to fear.',Instruction,Language,No
Explain quorum sensing in bacteria.,Knowledge,Biology,No
User: Gardening advice? AI: Soil test. User: For tomatoes?,Dialogue,Biology,Yes
"Calculate the skewness for dataset [1,2,2,3,10].",Math,Statistics,No
"Design a visual riddle for ""time flies"".",Creative,Language,No
What causes the greenhouse effect?,Knowledge,Environmental Science,No
Write a Factor word for factorial computation.,Programming,Computer Science,No
Read the horror snippet and build tension analysis.,Reading,Literature,Yes
Invent a legend about a singing river.,Creative,Geography,No
Compute the volume integral ∭ x dV over unit ball.,Math,Calculus,No
Guide to negotiating salary during job offer.,Instruction,Career,No
Who was the first to win two Nobel Prizes?,Knowledge,History,No
"Calculate the CAPM expected return if Rf=2%, Rm=10%, beta=1.2.",Math,Finance,No
Craft a simile for silence using a library.,Creative,Literature,No
Explain rift valley formation.,Knowledge,Geology,No
User: Art supply recs? AI: Acrylic paints. User: For beginners?,Dialogue,Art,Yes
Find the kurtosis for normal distribution.,Math,Statistics,No
Compose a triolet on blooming flowers.,Creative,Literature,No
What is the main driver of biodiversity hotspots?,Knowledge,Environmental Science,No
Write a Red program for list filtering.,Programming,Computer Science,No
Read the comedy script and highlight punchlines.,Reading,Literature,Yes
Design a story where books choose their readers.,Creative,Literature,No
"Solve the flow network max flow for capacities 1-2:5, 1-3:4, 2-4:3, 3-4:2.",Math,Algorithms,No
Outline a podcast production workflow.,Instruction,Media,No
Who discovered the neutron?,Knowledge,Physics,No
Translate to German: 'Adventure is worthwhile in itself.',Instruction,Language,No
Explain CRISPR technology applications.,Knowledge,Biology,No
User: Dance class? AI: Salsa. User: Online?,Dialogue,Art,Yes
Compute the Levene's test for equality of variances.,Math,Statistics,No
Invent a pun for a bakery slogan.,Creative,Culinary Arts,No
What causes soil erosion?,Knowledge,Environmental Science,No
Write a PicoLisp function for tree traversal.,Programming,Computer Science,No
Read the self-help chapter and apply to personal goal.,Reading,Psychology,Yes
Craft a tale of a wandering minstrel's song.,Creative,Music,No
"Find the shortest path in graph with Dijkstra for nodes A-B:2, A-C:4, B-D:1.",Math,Algorithms,No
Provide a framework for performance reviews.,Instruction,Business,No
Who was the first to decode the Rosetta Stone?,Knowledge,History,No
"Calculate the geometric mean for 2,8,32.",Math,Statistics,No
Design a metaphor for resilience using bamboo.,Creative,Psychology,No
Explain delta formation in rivers.,Knowledge,Geology,No
User: Poetry book? AI: Rumi. User: Modern translation?,Dialogue,Literature,Yes
"Perform a t-test for paired samples mean diff 5, SD 3, n=20.",Math,Statistics,No
Compose a rondeau on spring renewal.,Creative,Literature,No
What is the key factor in permafrost thaw?,Knowledge,Environmental Science,No
Write a Kawa Lisp macro for looping.,Programming,Computer Science,No
Read the eco-fiction excerpt and discuss environmental messages.,Reading,Literature,Yes
Invent a myth about the wind's whispers.,Creative,Meteorology,No
"Solve the integer programming min x + y s.t. 2x + y >= 4, x,y >=0 integer.",Math,Optimization,No
Outline a grant proposal structure for research funding.,Instruction,Research Methods,No
Who proposed the periodic table?,Knowledge,Chemistry,No
Translate to Portuguese: 'Wisdom comes with experience.',Instruction,Language,No
Explain phage therapy for antibiotic resistance.,Knowledge,Biology,No
User: Meditation music? AI: Ambient tracks. User: Free?,Dialogue,Health,Yes
"Calculate the harmonic mean for speeds 40,60 km/h.",Math,Statistics,No
Design a visual metaphor for interconnectedness using roots.,Creative,Biology,No
What drives tectonic plate movement?,Knowledge,Geology,No
Write a Squeak Smalltalk method for object serialization.,Programming,Computer Science,No
Read the travel blog and plan a similar itinerary.,Reading,Travel,Yes
Craft a story of a forgotten constellation's return.,Creative,Astronomy,No
"Compute the Bellman-Ford distances from source 0 in graph edges [(0,1,4),(1,2,3)].",Math,Algorithms,No
Guide to fostering innovation in teams.,Instruction,Business,No
Who was the first to observe cells?,Knowledge,Biology,No
"Calculate the internal rate of return approximation for cash flows -100,30,40,50.",Math,Finance,No
Invent a simile for joy using fireworks.,Creative,Psychology,No
Explain canyon carving by rivers.,Knowledge,Geology,No
User: Jazz album? AI: Kind of Blue. User: Similar?,Dialogue,Music,Yes
"Find the mode for multimodal data [1,2,2,3,3,3,4].",Math,Statistics,No
Compose a sapphic stanza on sisterhood.,Creative,Literature,No
What is the main threat to polar bears?,Knowledge,Environmental Science,No
Write a Hy function for data validation.,Programming,Computer Science,No
Read the manifesto and evaluate its radical ideas.,Reading,Philosophy,Yes
Design a narrative where dreams fuel machines.,Creative,Literature,No
"Solve the fractional knapsack for weights [2,3], values [3,4], capacity 5.",Math,Optimization,No
Outline a succession planning strategy.,Instruction,Business,No
Who discovered the proton?,Knowledge,Physics,No
Translate to Italian: 'Gratitude turns what we have into enough.',Instruction,Language,No
Explain stem cell differentiation.,Knowledge,Biology,No
User: Knitting pattern? AI: Scarf simple. User: For kids?,Dialogue,Art,Yes
"Compute the trimmed mean for [1,2,100] trim 20%.",Math,Statistics,No
Craft a metaphor for hope using dawn.,Creative,Literature,No
What causes mangrove decline?,Knowledge,Environmental Science,No
Write a BeanShell script for automation.,Programming,Computer Science,No
Read the fable collection and select morals for modern life.,Reading,Literature,Yes
Invent a tall tale about a bottomless well of wishes.,Creative,Literature,No
"Find the topological sort for DAG 1->2,1->3,2->4.",Math,Algorithms,No
Provide a template for project retrospectives.,Instruction,Business,No
Who was the first to use a microscope?,Knowledge,History,No
"Calculate the weighted average grade 80% exam, 20% homework, scores 90,85.",Math,Statistics,No
Design an analogy for symbiosis using roommates.,Creative,Biology,No
Explain fault line earthquakes.,Knowledge,Geology,No
User: Birdwatching spots? AI: Local wetlands. User: Binoculars rec?,Dialogue,Biology,Yes
"Determine the outlier using IQR for [10,12,14,15,100].",Math,Statistics,No
Compose a villanelle on lost opportunities.,Creative,Literature,No
What is the key to sustainable fishing?,Knowledge,Environmental Science,No
Write a Groovy closure for collection processing.,Programming,Computer Science,No
Read the adventure log and plot key events.,Reading,Literature,Yes
Craft a story where music heals wounds.,Creative,Music,No
Compute the A* pathfinding heuristic for grid maze.,Math,Algorithms,No
Outline a feedback loop for product improvement.,Instruction,Business,No
Who proposed natural selection?,Knowledge,Biology,No
Translate to Dutch: 'Laughter is the best medicine.',Instruction,Language,No
Explain gene editing ethics.,Knowledge,Biology,No
User: Puzzle game? AI: Sudoku. User: App version?,Dialogue,Logic,Yes
Calculate the variance inflation factor for multicollinearity.,Math,Statistics,No
Invent a pun for a physics textbook title.,Creative,Physics,No
What threatens bee populations?,Knowledge,Environmental Science,No
Write a J script for array operations.,Programming,Computer Science,No
Read the poem anthology and theme cluster.,Reading,Literature,Yes
Design a narrative of a shape-shifting cloud.,Creative,Literature,No
Explain the concept of recursion with an example.,Programming,Computer Science,No
Guide to effective public speaking.,Instruction,Career,No
Who was the first to split the atom?,Knowledge,Physics,No
"Calculate the Sharpe ratio if return 8%, risk-free 2%, SD 15%.",Math,Finance,No
Craft a simile for curiosity using a cat.,Creative,Psychology,No
Explain metamorphic rock formation.,Knowledge,Geology,No
User: Tea blend? AI: Green matcha. User: Caffeine-free?,Dialogue,Culinary Arts,Yes
Find the bootstrap confidence interval for mean.,Math,Statistics,No
Compose a haibun on mountain hike.,Creative,Literature,No
What is the main impact of microplastics?,Knowledge,Environmental Science,No
Write a Q# quantum circuit for superposition.,Programming,Computer Science,No
Read the detective dossier and connect clues.,Reading,Literature,Yes
Invent a fable about a greedy river.,Creative,Geography,No
Compute the Hungarian algorithm for assignment.,Math,Optimization,No
Outline a crisis management playbook.,Instruction,Business,No
Who discovered radio waves?,Knowledge,Physics,No
Translate to Swedish: 'Balance is the key to harmony.',Instruction,Language,No
Explain vaccine herd immunity threshold.,Knowledge,Biology,No
User: Stargazing app? AI: Star Walk. User: AR features?,Dialogue,Astronomy,Yes
Perform principal component analysis on 2D data.,Math,Statistics,No
"Design a visual oxymoron for ""jumbo shrimp"".",Creative,Language,No
What causes algal blooms?,Knowledge,Environmental Science,No
Write a SML module for type-safe lists.,Programming,Computer Science,No
Read the utopian blueprint and feasibility assess.,Reading,Literature,Yes
"If a balloon is filled with helium, why does it rise?",Commonsense,Physics,No
What is the atomic number of oxygen?,Knowledge,Chemistry,No
"If you squeeze a sponge underwater, what happens when you release it?",Commonsense,Physics,No
Write a bash script to rename all .txt files in a directory to .bak.,Programming,Computer Science,No
Read the email thread and draft a concise reply summarizing action items.,Reading,Business,Yes
Invent a short tale about a clock that runs on forgotten memories.,Creative,Literature,No
Solve the quadratic equation x^2 - 6x + 8 = 0 using factoring.,Math,Algebra,No
Who was the first to summit Mount Everest?,Knowledge,History,No
Explain the role of the pancreas in digestion.,Knowledge,Biology,No
User: Need travel insurance. AI: Coverage type? User: For Europe trip.,Dialogue,Travel,Yes
Paraphrase: 'The Industrial Revolution transformed agrarian societies into urban powerhouses.',Instruction,History,No
What is the square root of 225?,Math,Arithmetic,No
"If you place ice cream in the sun, what physical change occurs?",Commonsense,Chemistry,No
Write a Java method to check if a number is prime.,Programming,Computer Science,No
Read the product review summary and recommend improvements.,Reading,Business,Yes
Compose a quatrain about the whisper of falling snow.,Creative,Literature,No
Outline the steps to prepare a basic stir-fry meal.,Instruction,Culinary Arts,No
What causes the aurora borealis?,Knowledge,Astronomy,No
Solve for y: y/3 + 2 = 5.,Math,Algebra,No
Explain the concept of 'inertia' using the example of a passenger in a suddenly stopping bus.,Commonsense ,Physics,No
What is 64 divided by 8?,Math,Arithmetic,No
"Write a dialogue where a tenant reports a leaky faucet to their landlord, and they schedule a repair time.",Dialogue,Daily Life,Yes
Create a fictional diary entry for a scientist who has just discovered a new species of deep-sea fish.,Creative,Biology,No
What is the difference between a chemical change and a physical change? Provide one example of each.,Knowledge,Chemistry,No
Write a Python script that takes a URL as input and returns all the hyperlinks found on that webpage.,Programming,Computer Science,No
"If you pour honey and water into the same glass, which will settle at the bottom? Explain why.",Commonsense,Physics,No
Calculate the definite integral of f(x) = 2x from x=0 to x=3.,Math,Calculus,No
Summarize the main argument of the provided academic paper on the causes of the American Civil War.,Reading,History,Yes
Outline a 5-step process for creating a monthly personal budget.,Instruction,Daily Life,No
What is the geological process that forms mountains like the Himalayas?,Knowledge,Geology,No
"Compose a short, melancholic poem about a library after it has closed for the night.",Creative,Literature,No
"Write a SQL query to join two tables, 'Orders' and 'Customers', on the 'CustomerID' column.",Programming,Computer Science,No
Tourist: 'What's the weather like today?' Local Guide: 'I can get you the forecast. For which part of the city?',Dialogue,Daily Life,Yes
Convert 50 miles per hour to kilometers per hour (1 mile = 1.60934 km).,Math,Arithmetic,No
"Explain the concept of 'opportunity cost' in economics with a simple, everyday example.",Knowledge,Business,No
Design an experiment to test the hypothesis that plants grow taller when exposed to classical music.,Instruction,Research Methods,No
Why is the sky blue on a clear day?,Commonsense,Physics,No
Read the attached business proposal and identify three potential risks.,Reading,Business,Yes
Write a function in Java that reverses a string without using any built-in reverse methods.,Programming,Computer Science,No
Imagine a world where humans can photosynthesize. Describe a day in the life of a person in this world.,Creative,Biology,No
What was the significance of the Rosetta Stone in the field of Egyptology?,Knowledge,History,No
Subscriber: 'I want to cancel my subscription.' Support Agent: 'I can help with that. Could you please confirm your account email address?',Dialogue,Business,Yes
Calculate the area of a circle with a diameter of 10 meters.,Math,Geometry,No
"Provide a step-by-step guide for a beginner to create a simple 'Hello, World!' webpage using HTML.",Instruction,Computer Science,No
What is the difference between a hypothesis and a theory in a scientific context?,Knowledge,Research Methods,No
"If a car travels at a constant speed of 60 mph, how long will it take to travel 150 miles?",Math,Arithmetic,No
