Prompt,Category,Subject,Context Dependency,SourceDataset,SourceSplit,SourceId,Choices,AnswerIndex,AnswerLetter,AnswerText,Gsm8kAnswer,MbppTests
"On May 21 , 2013 , Jordan filed papers to change the Bobcats ' name to the Hornets , effective with the 2014 – 15 season . The Hornets name had become available when the original Hornets , who had moved to New Orleans in 2002 , changed their name to the New Orleans Pelicans for the 2013 – 14 season . The NBA approved the change on July 18 . The name change became official on May 20 , 2014 . On the same day , the team announced that it had reclaimed the history and records of the original 1988 – 2002 Hornets .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The Coldrum Long Barrow , also known as the Coldrum Stones and the Adscombe Stones , is a chambered long barrow located near to the village of Trottiscliffe in the south @-@ eastern English county of Kent . Constructed circa 4000 BCE , during Britain 's Early Neolithic period , today it survives only in a ruined state .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In 1983 , Neil Tennant met producer Bobby Orlando , while on an assignment in New York interviewing Sting for Smash Hits . After listening to some demos , Orlando offered to produce for the duo .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"A. K. Hangal as Rahim Chacha , the imam in the village",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"This ammunition , and that which I brought with me , was rapidly prepared for use at the Laboratory established at the Little Rock Arsenal for that purpose . As illustrating as the pitiful scarcity of material in the country , the fact may be stated that it was found necessary to use public documents of the State Library for cartridge paper . Gunsmiths were employed or conscripted , tools purchased or impressed , and the repair of the damaged guns I brought with me and about an equal number found at Little Rock commenced at once . But , after inspecting the work and observing the spirit of the men I decided that a garrison 500 strong could hold out against Fitch and that I would lead the remainder - about 1500 - to Gen 'l Rust as soon as shotguns and rifles could be obtained from Little Rock instead of pikes and lances , with which most of them were armed . Two days elapsed before the change could be effected . """,Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Sholay has been labelled by Chopra as the gold standard in Indian cinema , and a reference point for audiences and trade analysts . Over the years , the film has reached a mythic stature in popular culture , and has been called the greatest Hindi film of all time . It belongs to only a small collection of films , including Kismet ( 1943 ) , Mother India ( 1957 ) , Mughal @-@ e @-@ Azam ( 1960 ) and Hum Aapke Hain Koun .. ! ( 1994 ) , which are repeatedly watched throughout India , and are viewed as definitive Hindi films with cultural significance . The lasting effect of Sholay on Indian cinema was summarised by Anupama Chopra , when in 2004 she called it "" no longer just a film , [ but ] an event "" . In the 2000 book Sholay : The Making of a Classic , the noted director Shekhar Kapur stated "" there has never been a more defining film on the Indian screen . Indian film history can be divided into Sholay BC and Sholay AD "" . The film was jointly released in Pakistan by Geo films and Mandviwalla Entertainment on 17 April 2015 , almost 40 years after its theatrical release . The film 's premiere in the country was held in Karachi .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Sanjeev Kumar as Thakur Baldev Singh , usually addressed as "" Thakur """,Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In Britain , these tombs were typically located on prominent hills and slopes overlooking the surrounding landscape , perhaps at the junction between different territories . Archaeologist Caroline Malone noted that the tombs would have served as one of a variety of markers in the landscape that conveyed information on "" territory , political allegiance , ownership , and ancestors . "" Many archaeologists have subscribed to the idea that these tomb @-@ shrines served as territorial markers between different tribal groups , although others have argued that such markers would be of little use to a nomadic herding society . Instead it has been suggested that they represent markers along herding pathways . Many archaeologists have suggested that the construction of such monuments reflects an attempt to stamp control and ownership over the land , thus representing a change in mindset brought about by Neolithicisation . Others have suggested that these monuments were built on sites already deemed sacred by Mesolithic hunter @-@ gatherers .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In 1869 , the antiquarian A. L. Lewis first visited the site , and was informed by locals that several years previously a skull had been uncovered from inside or near to the chamber , but that they believed it to be that of a gypsy . A later account elaborated on this , stating that two individuals excavated in the centre of the dolmen without permission , discovering a human skeleton , the skull of which was then re @-@ buried in the churchyard at Meopham . In an 1878 note published in The Journal of the Anthropological Institute of Great Britain and Ireland , Lewis noted that while many tourists visited Kit 's Coty House , "" very few goes to or ever hears of a yet more curious collection of stones at Colderham or Coldrum Lodge "" . He believed that the monument consisted of both a "" chamber "" and an "" oval "" of stones , suggesting that they were "" two distinct erections "" . In 1880 , the archaeologist Flinders Petrie included the existence of the stones at "" Coldreham "" in his list of Kentish earthworks ; although noting that a previous commentator had described the stones as being in the shape of an oval , he instead described them as forming "" a rectilinear enclosure "" around the chamber . He then included a small , basic plan of the monument .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The operation began on 12 October , when Moltke and the four König @-@ class ships covered the landing of ground troops by suppressing the shore batteries covering Tagga Bay . Markgraf fired on the battery located on Cape Ninnast . After the successful amphibious assault , III Squadron steamed to Putziger Wiek , although Markgraf remained behind for several days . On the 17th , Markgraf left Tagga Bay to rejoin her squadron in the Gulf of Riga , but early on the following morning she ran aground at the entrance to Kalkgrund . The ship was quickly freed , and she reached the III Squadron anchorage north of Larina Bank on the 19th . The next day , Markgraf steamed to Moon Sound , and on the 25th participated in the bombardment of Russian positions on the island of Kynö . The ship returned to Arensburg on 27 October , and two days later was detached from Operation Albion to return to the North Sea .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The structure of Dominican society was hierarchical , with strongly gendered roles . Rafael Trujillo , the ruler , was a cruel dictator who haunts the people of Santo Domingo even 35 years after his death . He is a true caudillo , ruling with brutality and corruption . He creates a personality cult in his capitalist society and encourages decadence within his regime . Prior to promotion to a position of responsibility , an officer is required to pass a "" test of loyalty "" . His people are to remain loyal to him all cost , and are periodically tested by public humiliation and censure even though acts of disloyalty were rare . Trujillo violates women and children as an expression of political and sexual power , and in some cases takes the wife or child of his lieutenants , many of whom still remain blindly loyal . Even the church and military institutions are employed to give women to the tyrant for pleasure .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"On October 15 , 2013 , "" White Christmas "" was released as a promotional single from Wrapped in Red . Three days after , "" Underneath the Tree "" premiered on Clarkson 's Vevo channel . A television Christmas special , titled Kelly Clarkson 's Cautionary Christmas Music Tale , was filmed by concert director Hamish Hamilton on October 30 , 2013 , the eve after its street date , at The Venetian Las Vegas . A pastiche of A Christmas Carol , the Christmas special featured live performances of selections from Wrapped in Red ( one of which features McEntire and Yearwood ) . Produced by Done and Dusted , Cautionary Christmas Music Tale premiered on NBC in the United States and Global in Canada on December 11 , 2013 , being pegged by RCA as the album 's primary promotional medium . NBC 's premiere broadcast of the special was seen by 5 @.@ 31 million viewers , according to Nielsen Media Research . It also received a 1 @.@ 4 share among adults between the ages of 18 to 49 , generated NBC ’ s second biggest overall audience its time slot . NBC had also a rerun broadcast of Cautionary Christmas Music Tale on Christmas Day , which was seen by an additional 3 @.@ 54 million viewers .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"As a mark of respect , Dagenham & Redbridge postponed the game Exeter were due to play against them at Victoria Road four days after his death . Exeter retired his shirt number 9 for nine seasons .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Nevertheless , underground organizations and individuals – in particular the Polish Underground State – saved much of Poland 's most valuable cultural treasures , and worked to salvage as many cultural institutions and artifacts as possible . The Catholic Church and wealthy individuals contributed to the survival of some artists and their works . Despite severe retribution by the Nazis and Soviets , Polish underground cultural activities , including publications , concerts , live theater , education , and academic research , continued throughout the war .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Skirmishes between Gabbar 's gang and Jai @-@ Veeru finally result in the capture of Veeru and Basanti by the dacoits . Jai attacks the gang , and the three are able to flee Gabbar 's hideout with dacoits in pursuit . Fighting from behind a rock , Jai and Veeru nearly run out of ammunition . Veeru , unaware that Jai was wounded in the gunfight , is forced to leave for more ammunition . Meanwhile , Jai , who is continuing the gunfight singlehandedly , decides to sacrifice himself by using his last bullet to ignite dynamite sticks on a bridge from close range .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Memory is also important in the sections of the novel that deal with the assassins . Each recalls the events that led him to take part in the assassination of Trujillo . These incidents included the 1956 Galindez kidnapping and murder , the 1960 murder of the Mirabal sisters , and the 1961 split with the Catholic Church . These historical events are used by Vargas Llosa to connect the assassins with specific moments that demonstrate the violence of Trujillo 's regime . Trujillo , too , is shown reflecting on the past , not least his own formation and training at the hands of the US Marines .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In 1941 , German policy evolved further , calling for the complete destruction of the Polish people , whom the Nazis regarded as "" subhumans "" ( Untermenschen ) . Within ten to twenty years , the Polish territories under German occupation were to be entirely cleared of ethnic Poles and settled by German colonists . The policy was relaxed somewhat in the final years of occupation ( 1943 – 44 ) , in view of German military defeats and the approaching Eastern Front . The Germans hoped that a more lenient cultural policy would lessen unrest and weaken the Polish Resistance . Poles were allowed back into those museums that now supported German propaganda and indoctrination , such as the newly created Chopin museum , which emphasized the composer 's invented German roots . Restrictions on education , theater and music performances were eased .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Shortly after 19 : 00 , the German cruiser Wiesbaden had become disabled by a shell from the British battlecruiser Invincible ; Rear Admiral Paul Behncke in König attempted to position his four ships to cover the stricken cruiser . Simultaneously , the British III and IV Light Cruiser Squadrons began a torpedo attack on the German line ; while advancing to torpedo range , they smothered Wiesbaden with fire from their main guns . The obsolescent armored cruisers of the 1st Cruiser Squadron also joined in the melee . Markgraf and her sisters fired heavily on the British cruisers , but even sustained fire from the battleships ' main guns failed to drive them off . Markgraf fired both her 30 @.@ 5 cm and 15 cm guns at the armored cruiser Defence . Under a hail of fire from the German battleships , Defence exploded and sank ; credit is normally given to the battlecruiser Lützow , though Markgraf 's gunners also claimed credit for the sinking .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Under the leadership of computer animator Frank Foster , 350 people worked to convert the film into the digital 3D format , for which every scene had to be individually restored , colour @-@ corrected and re @-@ composited in 3D to match the depth . New set @-@ pieces , particularly those suited to the new format were also included , such as digital logs which scatter in the direction of the camera during the first half of the film when the train collides with them , the gunshot scene which frees Jai and Veeru from their handcuffs , and panoramic views of Gabbar 's hideout in the caves .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The Coldrum Stones are named after a nearby farm , Coldrum Lodge , which has since been demolished . The monument lies in a "" rather isolated site "" north @-@ east of the nearby village of Trottiscliffe , about 500 metres from a prehistoric track known as the Pilgrim 's Way . The tomb can be reached along a pathway known as Coldrum Lane , which is only accessible on foot . The nearest car park to Coldrum Lane can be found off of Pinesfield Lane in Trottiscliffe . Another nearby village is Addington , which is located one and a quarter miles away .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The Children ’ s Book of Hymns ; Blackie , 1929 ; rep . 1933",Narrative,WikiText-2,No,wikitext,train,,,,,,,
""" West End Girls "" is a synthpop song influenced by hip hop music . The song 's socially conscious streak , as well as the propulsive bass line , derives from Grandmaster Flash 's protest rap song "" The Message "" . Lowe and Hague created a "" snaky , obsessive rhythm punch "" for the music , replacing the song 's previously sparse beats and minimal keyboard lines .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The theatrical trailer and release date were unveiled by the original script @-@ writers Salim Khan and Javed Akhtar . The two original leads , Bachchan and Dharmendra , were also involved in promoting the re @-@ release . The film was released in 1 @,@ 000 screens in India , and additional screens overseas . It earned approximately ₹ 100 million ( US $ 1 @.@ 5 million ) during its re @-@ release , not enough to recover its conversion cost .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In December 1971 , during the Indo @-@ Pakistani War of 1971 , the US President Richard Nixon sent a carrier battle group named Task Force 74 , led by the nuclear @-@ powered USS Enterprise into the Bay of Bengal in an attempt to intimidate India . In response , the Soviet Union sent a submarine armed with nuclear missiles from Vladivostok to trail the US task force . The event demonstrated the significance of nuclear weapons and ballistic missile submarines to then Prime Minister Indira Gandhi . Following the 1974 Smiling Buddha nuclear test , the Director of Marine Engineering ( DME ) at Naval Headquarters initiated a technical feasibility study for an indigenous nuclear propulsion system ( Project 932 ) .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Nevertheless , the Type 2 gold dollar ( as it came to be known ) proved unsatisfactory as the mints had difficulty in striking the new coin so that all details were brought out . This was due to the high relief of the design — the three Southern branch mints especially had trouble with the piece . Many of the Type 2 pieces quickly became illegible , and were sent back to Philadelphia for melting and recoinage . On most surviving specimens , the "" 85 "" in the date is not fully detailed . The Type 2 gold dollar was struck only at Philadelphia in 1854 and 1855 , at the three Southern branch mints in the latter year , and at San Francisco in 1856 , after the design was designated for replacement . To correct the problems , Longacre enlarged the head of Liberty , making it a scaled @-@ down version of the three @-@ dollar piece , and moved the lettering on the obverse closer to the rim . This improved the metal flow and design sharpness so much that early numismatic scholars assumed the reverse was also altered , though in fact no change was made and the Type 2 and Type 3 reverses are identical .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The film drew heavily from the conventions of Westerns , and is a defining example of the masala film , which mixes several genres in one work . Scholars have noted several themes in the film , such as glorification of violence , conformation to feudal ethos , debate between social order and mobilised usurpers , homosocial bonding , and the film 's role as a national allegory . The combined sales of the original soundtrack , scored by R. D. Burman , and the dialogues ( released separately ) , set new sales records . The film 's dialogues and certain characters became extremely popular , contributing to numerous cultural memes and becoming part of India 's daily vernacular . In January 2014 , Sholay was re @-@ released to theatres in the 3D format .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The High Seas Fleet managed to punch through the British light forces without drawing the attention of Jellicoe 's battleships , and subsequently reached Horns Reef by 04 : 00 on 1 June . Upon reaching Wilhelmshaven , Markgraf went into harbor while several other battleships took up defensive positions in the outer roadstead . The ship was transferred to Hamburg where she was repaired in AG Vulcan 's large floating dock . Repair work was completed by 20 July . In the course of the battle , Markgraf had fired a total of 254 shells from her main battery and 214 rounds from her 15 cm guns . She was hit by five large @-@ caliber shells , which killed 11 men and wounded 13 .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"It is possible that there was a facade in front of the chamber , as is evident at other chambered tombs in Britain , such as West Kennet Long Barrow and Wayland 's Smithy . It is also possible that there was a portal stone atop the chamber , as was apparent at Kit 's Coty House and Lower Kit 's Coty House . Many of the larger slabs of stone that have fallen down the slope on the eastern end of the monument may have been parts of this facade or portal .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In a 2004 interview , Fey expressed that she would like to write and direct movies . In 2006 , Fey worked on a movie script for Paramount Pictures , which was to feature Sacha Baron Cohen , by the name of Curly Oxide and Vic Thrill , based loosely on the true story of a Hasidic rock musician . In 2007 , she was cast in the animated comedy film Aqua Teen Hunger Force Colon Movie Film for Theaters as the Aqua Teens ' mother , a giant burrito .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Egyptian writings describe the gods ' bodies in detail . They are made of precious materials ; their flesh is gold , their bones are silver , and their hair is lapis lazuli . They give off a scent that the Egyptians likened to the incense used in rituals . Some texts give precise descriptions of particular deities , including their height and eye color . Yet these characteristics are not fixed ; in myths , gods change their appearances to suit their own purposes . Egyptian texts often refer to deities ' true , underlying forms as "" mysterious "" . The Egyptians ' visual representations of their gods are therefore not literal . They symbolize specific aspects of each deity 's character , functioning much like the ideograms in hieroglyphic writing . For this reason , the funerary god Anubis is commonly shown in Egyptian art as a dog or jackal , a creature whose scavenging habits threaten the preservation of buried mummies , in an effort to counter this threat and employ it for protection . His black coloring alludes to the color of mummified flesh and to the fertile black soil that Egyptians saw as a symbol of resurrection .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In February 2010 , it was reported that Jordan was seeking majority ownership of the Bobcats . As February wore on , it emerged that the leading contenders for the team were Jordan and former Houston Rockets president George Postolos . On February 27 , the Bobcats announced that Johnson had reached an agreement with Jordan and his group , MJ Basketball Holdings , to buy the team pending NBA approval . On March 17 , the NBA Board of Governors unanimously approved Jordan 's purchase , making him the first former player ever to become the majority owner of an NBA team . It also made him the league 's only African @-@ American majority owner .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Jordan played on two Olympic gold medal @-@ winning American basketball teams . As a college player he participated , and won the gold , in the 1984 Summer Olympics . The team was coached by Bob Knight and featured players such as Patrick Ewing , Sam Perkins , Chris Mullin , Steve Alford , and Wayman Tisdale . Jordan led the team in scoring , averaging 17 @.@ 1 ppg for the tournament .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Living in Ramgarh , the jovial Veeru and cynical Jai find themselves growing fond of the villagers . Veeru is attracted to Basanti ( Hema Malini ) , a feisty , talkative young woman who makes her living by driving a horse @-@ cart . Jai is drawn to Radha ( Jaya Bhaduri ) , Thakur 's reclusive , widowed daughter @-@ in @-@ law , who subtly returns his affections .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Greater Manchester Police operate a Video Intelligence Unit , whose plainclothes officers confront and video certain freed prisoners as they leave prison after serving their sentences . They also record footage of people involved in anti @-@ social behaviour on the streets . The aim is to give other police officers up to date information on the appearance of people who have broken the law . Video footage thus collected is constantly replayed on TV screens in rooms where officers complete their paperwork . Footage that they have recorded has also been uploaded onto YouTube in an attempt to catch people they believe have reoffended . This has resulted in several offenders being sent back to prison after breaching licence conditions . Since the unit was launched in 2006 more than 900 people have been filmed by the unit . Not all of these people are suspects in crime however , people can be filmed if they are thought to associate with prolific offenders or if they have been stopped in an area of high crime under suspicious circumstances . Kieran Walsh , a civil liberties lawyer , said the unit 's work "" could have implications "" for the force under Article 8 of the European Convention on Human Rights - the right to privacy . He believes that filming must be a "" proportionate and reasonable "" response to a crime and that this does not appear to be the case as people are being targeted over what they might do in the future . It is uncertain as to how long data collected by the unit is to be kept but GMP currently anticipate it will be stored for 5 years .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In August 2009 , the Basketball Hall of Fame in Springfield , Massachusetts , opened a Michael Jordan exhibit containing items from his college and NBA careers , as well as from the 1992 "" Dream Team "" . The exhibit also has a batting glove to signify Jordan 's short career in baseball . After Jordan received word of his being accepted into the Hall of Fame , he selected Class of 1996 member David Thompson to present him . As Jordan would later explain during his induction speech in September 2009 , growing up in North Carolina , he was not a fan of the Tar Heels , and greatly admired Thompson , who played at rival North Carolina State . He was inducted into the Hall in September , with several former Bulls teammates in attendance , including Scottie Pippen , Dennis Rodman , Charles Oakley , Ron Harper , Steve Kerr , and Toni Kukoč . Former coaches of Jordan 's , Dean Smith and Doug Collins , were also among those present . His emotional reaction during his speech , when he began to cry , was captured by Associated Press photographer Stephan Savoia and would later become widely shared on social media as the Crying Jordan Internet meme .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In his 1924 publication dealing with Kent , the archaeologist O. G. S. Crawford , then working as the archaeological officer for the Ordnance Survey , listed the Coldrum Stones alongside the other Medway Megaliths . In 1926 , the Coldrum Stones were given to The National Trust , who dedicated it as a memorial to the Kentish historian Benjamin Harrison . A plaque was erected to mark this , which erroneously termed the monument a stone circle ; in 1953 , the archaeologist Leslie Grinsell expressed the view that "" it is hoped that this error may be rectified in the near future "" . Still owned by the Trust , the site is open to visitors all year round , free of charge . On their website , the Trust advises visitors to look for "" stunning views from the top of the barrow "" . John H. Evans characterised the site as "" the most impressive "" of the Medway Megaliths , while Grinsell described it as "" the finest and most complete "" of the group .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Nationally important deities gave rise to local manifestations , which sometimes absorbed the characteristics of older regional gods . Horus had many forms tied to particular places , including Horus of Nekhen , Horus of Buhen , and Horus of Edfu . Such local manifestations could be treated almost as separate beings . During the New Kingdom , one man was accused of stealing clothes by an oracle supposed to communicate messages from Amun of Pe @-@ Khenty . He consulted two other local oracles of Amun hoping for a different judgment . Gods ' manifestations also differed according to their roles . Horus could be a powerful sky god or vulnerable child , and these forms were sometimes counted as independent deities .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"In 2002 , Fey was ranked in the Hot 100 List at number 80 on Maxim magazine , which used photos taken earlier by Rolling Stone calling her "" the thinking man 's sex symbol "" . She was named one of People magazine 's 50 Most Beautiful People in 2003 , and one of People magazine 's 100 Most Beautiful People in 2007 , 2008 , and 2009 . In 2007 , Fey placed seventh on the Hot 100 List on AfterEllen.com. She repeated the appearance the following year , being voted as number one on the list .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Lettering , sword , and shield ; mount for a list of men and woman serving in the Forces , St. Andrews , Croydon , 1943",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"As the Nameless officially do not exist , the upper echelons of the Gallian Army exploit the concept of plausible deniability in order to send them on missions that would otherwise make Gallia lose face in the war . While at times this works to their advantage , such as a successful incursion into Imperial territory , other orders cause certain members of the 422nd great distress . One such member , Gusurg , becomes so enraged that he abandons his post and defects into the ranks of Calamity Raven , attached to the ideal of Darcsen independence proposed by their leader , Dahau . At the same time , elements within Gallian Army Command move to erase the Nameless in order to protect their own interests . Hounded by both allies and enemies , and combined with the presence of a traitor within their ranks , the 422nd desperately move to keep themselves alive while at the same time fight to help the Gallian war effort . This continues until the Nameless 's commanding officer , Ramsey Crowe , who had been kept under house arrest , is escorted to the capital city of Randgriz in order to present evidence exonerating the weary soldiers and expose the real traitor , the Gallian General that had accused Kurt of Treason .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"McKay got his fellow Democrat , New Hampshire Senator Charles Atherton , to introduce the bill to authorize the gold dollar and the double eagle in the Senate on February 1 , 1849 — Atherton was chairman of the Senate Finance Committee . McKay introduced a version into the House on February 20 ; debate began the same day . The dollar was attacked by congressmen from the Whig Party , then in the minority , on the grounds that it would be too small , would be counterfeited and in bad light might be mistakenly spent as a half dime , the coins being similar in size . McKay did not respond substantively , but stated that if no one wanted these denominations , they would not be called for at the Mint , and would not be coined . Pennsylvania Representative Joseph Ingersoll , a Whig , spoke against the bill , noting that Patterson opposed the new denominations , and that the idea had been repeatedly turned down , whenever considered . Another Whig , Massachusetts 's Charles Hudson , related that Patterson had sent a real and a counterfeit gold dollar to his committee and the majority of members had been unable to tell the difference . McKay made no answer to these claims , but others did , including New York Congressman Henry Nicoll , who assured the House that the counterfeiting allegations were greatly exaggerated . The point was , he indicated , that the double eagle and gold dollar were wanted by the public , and , in the case of the gold dollar could help money circulate in small communities where banknotes were not accepted . Connecticut Representative John A. Rockwell , a Whig , tried to table the bill , but his motion was defeated . The bill passed easily , and met only minimal opposition in the Senate , becoming law on March 3 , 1849 .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The second entry , a "" commercial , yet heavy "" album called Addicted , was released in November 2009 and features lead vocals from Townsend and Dutch singer Anneke van Giersbergen . Brian "" Beav "" Waddell was recruited from the Devin Townsend Band to play bass .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The novel has also been adapted for the stage , by Jorge Alí Triana and his daughter Veronica Triana , directed by Jorge Triana : the play was put on ( in Spanish , but with simultaneous translation to English ) at Repertorio Español ( www.repertorio.org / chivo ) in New York in 2003 ; and the production moved to Lima in 2007 . A feature of the novel 's stage version is that the same actor plays both Agustin Cabral and Rafael Trujillo . For reviewer Bruce Weber , this makes the point "" that Trujillo 's control of the nation depended on gutless collaborators "" .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"As AoT Chairman , Saprang spearheaded an effort to reopen Don Muang Airport in parallel with the newly opened Suvarnabhumi Airport , despite objections from the Civil Aviation Department , airlines , and internal studies within Airports of Thailand . 60 airlines threatened to halt flights to Thailand if they were forced to move back to Don Muang airport .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The Soviet authorities regarded service to the prewar Polish state as a "" crime against revolution "" and "" counter @-@ revolutionary activity "" and arrested many members of the Polish intelligentsia , politicians , civil servants and academics , as well as ordinary persons suspected of posing a threat to Soviet rule . More than a million Polish citizens were deported to Siberia , many to Gulag concentration camps , for years or decades . Others died , including over 20 @,@ 000 military officers who perished in the Katyn massacres .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Wrapped in Red 's lead single , "" Underneath the Tree "" , was released to radio airplay on November 5 , 2013 . Praised in its initial release , music critics approvingly compared the song to "" All I Want for Christmas is You "" and blazoned it as a future Christmas standard . Reviewing for Slant Magazine , Sal Cinquemani wrote that track is likely to become Clarkson 's very own contemporary standard ; while The Independent 's Hugh Montgomery applauded it as "" a winner on all fronts . "" After debuting on the Billboard Holiday 100 chart at number 34 , it became holiday top ten hit by peaking at number eight on the chart . It also topped the Billboard Adult Contemporary chart for four consecutive weeks , becoming Clarkson 's third track and the fifteenth holiday song to top the chart . "" Underneath the Tree "" also charted on the main Billboard Hot 100 chart at number seventy @-@ eight and became a top forty hit internationally : including the Billboard Canadian Hot 100 chart , the Dutch Top 40 chart , and the Official UK Singles Chart . USA Today reported that "" Underneath the Tree "" was American radio 's most @-@ played new holiday song of 2013 , while Edison Media Research reported that the single was the first holiday song to receive a considerable support on mainstream contemporary hit radio in almost 20 years . Wrapped in Red 's second single , the title track , was serviced to radio airplay on November 25 , 2014 . On the week ending December 28 , 2014 , it debuted on the Billboard Adult Contemporary chart at number 11 on the week ending December 13 , 2014 .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Vuthiphong was fired from the TOT board and his position of acting TOT President in June 2007 . He immediately accused the Army of using the TOT as an unmonitored slush fund . He claimed that an unnamed Army unit had requested that TOT buy it 800 million baht worth of electronic equipment . Upon receiving the request , Vuthipong demanded to know why neither the Army nor the Defence Ministry used their own secret budgets to purchase the equipment , and why an internal Army unit , rather than the Kingdom 's main national security organisations , had made the request . Saprang denied that there was any lack of transparency in the request for financial support . Vuthipong claimed that the equipment should only have cost 30 million baht , not 800 million baht . He was fired and expelled from the Board soon after refusing to sign off on the deal . The Board later appointed Col. Natee Sukolrat as the new TOT President and accepted the army 's donation request .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"The Gambia women 's national football team represents the Gambia in international football competition . The team , however , has not competed in a match recognised by FIFA , the sport 's international governing body , despite that organised women 's football has been played in the country since 1998 . The Gambia has two youth teams , an under @-@ 17 side that has competed in FIFA U @-@ 17 Women 's World Cup qualifiers , and an under @-@ 19 side that withdrew from regional qualifiers for an under @-@ 19 World Cup . The development of a national team faces challenges similar to those across Africa , although the national football association has four staff members focusing on women 's football .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Jordan was recruited by numerous college basketball programs , including Duke , North Carolina , South Carolina , Syracuse , and Virginia . In 1981 , Jordan accepted a basketball scholarship to North Carolina , where he majored in cultural geography .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Initial critical reviews of Sholay were negative . Among contemporary critics , K.L. Amladi of India Today called the film a "" dead ember "" and "" a gravely flawed attempt "" . Filmfare said that the film was an unsuccessful mincing of Western style with Indian milieu , making it an "" imitation western — neither here nor there . "" Others labelled it as "" sound and fury signifying nothing "" and a "" second @-@ rate take @-@ off "" of the 1971 film Mera Gaon Mera Desh . Trade journals and columnists initially called the film a flop . In a 1976 article in the journal Studies : An Irish Quarterly Review , author Michael Gallagher praised the technical achievement of the film , but otherwise criticised it stating , "" As a spectacle it breaks new ground , but on every other level it is intolerable : formless , incoherent , superficial in human image , and a somewhat nasty piece of violence "" .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
"Completing his tour with No. 79 Wing , Eaton was appointed Air Officer Commanding Southern Area , Melbourne , in January 1945 . The German submarine U @-@ 862 operated off southern Australia during the first months of 1945 , and the few combat units in Eaton 's command were heavily engaged in anti @-@ submarine patrols which sought to locate this and any other U @-@ boats in the area . The Air Officer Commanding RAAF Command , Air Vice Marshal Bill Bostock , considered the sporadic attacks to be partly "" nuisance value "" , designed to draw Allied resources away from the front line of the South West Pacific war . In April , Eaton complained to Bostock that intelligence from British Pacific Fleet concerning its ships ' movements eastwards out of Western Area was hours out of date by the time it was received at Southern Area Command , leading to RAAF aircraft missing their rendezvous and wasting valuable flying hours searching empty ocean . There had been no U @-@ boat strikes since February , and by June the naval authorities indicated that there was no pressing need for air cover except for the most important vessels .",Narrative,WikiText-2,No,wikitext,train,,,,,,,
